"puntoVenta,importe,cantidad,temperatura"
"14","392828","6477","12"
"16","588634","3618","27"
"4","86742","9757","0"
"7","18605","537","17"
"12","355635","511","25"
"9","73466","78","48"
"22","623395","616","-6"
"5","213193","2004","9"
"2","949129","4623","3"
"22","633636","8602","2"
"10","83562","9254","2"
"15","965681","2851","31"
"1","270045","2888","28"
"18","828331","6150","-14"
"1","490383","5532","35"
"1","950621","9132","37"
"4","535546","3054","15"
"23","156532","6280","29"
"2","412282","8332","40"
"5","128448","8279","-5"
"1","290862","4979","35"
"18","804252","3579","7"
"19","881103","4748","20"
"9","389674","832","15"
"14","93887","2605","2"
"14","806288","4425","39"
"1","202704","2267","18"
"11","190873","4776","42"
"19","789803","5056","13"
"16","304563","3077","12"
"3","746740","1026","1"
"17","651383","4825","22"
"3","662910","3262","37"
"23","384222","2943","-11"
"20","638129","4632","26"
"13","85018","8112","17"
"21","156385","1517","-8"
"17","884747","9095","49"
"13","947482","4509","14"
"18","752398","8111","25"
"5","764483","1696","32"
"20","292289","2258","37"
"19","568585","7150","50"
"11","358332","3905","49"
"9","175791","7551","22"
"21","932432","2156","38"
"3","460892","2508","35"
"10","863161","997","1"
"21","61563","3356","29"
"12","922491","8787","1"
"14","765993","7304","25"
"6","93164","1498","46"
"16","375214","5835","14"
"23","78445","5380","0"
"8","547241","412","32"
"5","881400","4199","-14"
"15","240860","3063","32"
"3","269299","8493","35"
"12","60866","2593","-3"
"22","954425","7381","13"
"22","702334","6892","-2"
"4","338927","2852","-15"
"5","863593","957","32"
"17","801637","1260","21"
"16","229348","2157","-12"
"20","42459","6478","5"
"18","723168","3298","5"
"2","727102","9380","9"
"10","910768","7756","-5"
"16","842032","941","-15"
"3","137731","6302","5"
"3","120259","6034","43"
"16","979078","4306","37"
"15","771634","4020","34"
"21","299607","9201","17"
"21","798331","5452","27"
"8","661759","4031","-9"
"10","85271","1197","4"
"1","784147","6168","41"
"3","686398","7206","1"
"15","361821","2252","-7"
"5","649356","8085","-13"
"16","920699","7802","47"
"2","866959","6237","-6"
"7","984236","9612","2"
"9","173676","6517","15"
"11","514","6755","19"
"8","360178","3027","6"
"9","114992","5003","37"
"22","279818","3849","0"
"10","769997","6651","15"
"6","383775","4431","-14"
"17","677172","8792","37"
"20","389328","8944","1"
"15","896965","6481","24"
"10","523181","6237","19"
"11","455186","5647","25"
"11","849989","5665","26"
"5","506260","3847","44"
"1","727192","2683","19"
"23","79328","3723","5"
"2","678365","3571","-8"
"17","189593","2931","-13"
"13","272111","5796","2"
"8","408616","1794","-13"
"17","348093","7390","8"
"3","488852","4058","44"
"5","681070","4137","4"
"10","244102","7505","1"
"14","728727","4736","31"
"17","609994","4924","35"
"21","944008","8815","3"
"21","149863","425","7"
"12","985886","2807","44"
"10","91855","6117","41"
"20","101113","8670","37"
"20","576461","4119","-7"
"14","273757","451","27"
"12","487117","8940","11"
"17","479624","3726","24"
"5","253458","5205","-15"
"21","163342","2860","34"
"8","127225","5728","35"
"19","438096","1143","8"
"15","430836","4941","3"
"19","508026","8768","23"
"15","278600","2674","-11"
"2","813270","3655","-13"
"1","270601","3287","35"
"15","397678","145","33"
"22","659232","5152","41"
"7","943262","4525","49"
"11","988374","6748","24"
"5","269073","694","35"
"1","672363","1929","31"
"21","759025","5227","21"
"4","673713","6480","41"
"20","390751","3556","36"
"2","606426","4211","17"
"12","283765","3245","41"
"9","508067","7254","11"
"1","558540","7388","4"
"3","495141","5793","-2"
"5","14519","3895","16"
"14","578968","3181","31"
"10","72294","6086","47"
"12","165083","9826","12"
"16","513317","6202","-1"
"2","203878","5468","45"
"7","471959","5869","-13"
"14","742443","4410","30"
"19","700995","5383","30"
"3","627665","8912","31"
"3","408720","2081","39"
"7","610538","1305","17"
"2","369489","9499","50"
"11","101699","8731","-13"
"5","286606","1743","-6"
"5","772261","3409","48"
"20","97478","6346","13"
"6","352143","3700","33"
"18","958130","6183","36"
"7","350242","5386","35"
"15","355930","7200","27"
"19","845683","7526","33"
"5","188366","1839","30"
"3","69888","6748","30"
"19","891225","7789","23"
"23","425929","6129","-11"
"13","413025","5691","50"
"20","15702","677","-13"
"10","509697","9600","10"
"9","837477","3286","10"
"9","486479","5620","47"
"23","60570","2412","39"
"23","424020","4739","-1"
"8","428309","1395","42"
"3","386091","8497","38"
"7","600451","4291","-7"
"13","648558","7378","40"
"14","169881","6488","-3"
